date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:35	4986/4986	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:59%20GMT	https://www.equationsmedia.com/images/clients/client1.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client1.jpg	(from https://www.equationsmedia.com/)
15:05:35	4031/4031	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:03%20GMT	https://www.equationsmedia.com/images/clients/client2.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client2.jpg	(from https://www.equationsmedia.com/)
15:05:35	3486/3486	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:05%20GMT	https://www.equationsmedia.com/images/clients/client3.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client3.jpg	(from https://www.equationsmedia.com/)
15:05:36	5510/5510	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:05%20GMT	https://www.equationsmedia.com/images/clients/client4.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client4.jpg	(from https://www.equationsmedia.com/)
15:05:36	6377/6377	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:06%20GMT	https://www.equationsmedia.com/images/clients/client5.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client5.jpg	(from https://www.equationsmedia.com/)
15:05:36	5188/5188	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:06%20GMT	https://www.equationsmedia.com/images/clients/client6.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client6.jpg	(from https://www.equationsmedia.com/)
15:05:36	5117/5117	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:07%20GMT	https://www.equationsmedia.com/images/clients/client7.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client7.jpg	(from https://www.equationsmedia.com/)
15:05:37	7059/7059	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:07%20GMT	https://www.equationsmedia.com/images/clients/client8.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client8.jpg	(from https://www.equationsmedia.com/)
15:05:37	8014/8014	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:08%20GMT	https://www.equationsmedia.com/images/clients/client9.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client9.jpg	(from https://www.equationsmedia.com/)
15:05:37	5858/5858	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:59%20GMT	https://www.equationsmedia.com/images/clients/client10.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client10.jpg	(from https://www.equationsmedia.com/)
15:05:38	7054/7054	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:00%20GMT	https://www.equationsmedia.com/images/clients/client11.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client11.jpg	(from https://www.equationsmedia.com/)
15:05:38	10585/10585	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:00%20GMT	https://www.equationsmedia.com/images/clients/client12.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client12.jpg	(from https://www.equationsmedia.com/)
15:05:38	6922/6922	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:01%20GMT	https://www.equationsmedia.com/images/clients/client13.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client13.jpg	(from https://www.equationsmedia.com/)
15:05:38	5336/5336	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:01%20GMT	https://www.equationsmedia.com/images/clients/client14.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client14.jpg	(from https://www.equationsmedia.com/)
15:05:39	4442/4442	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:02%20GMT	https://www.equationsmedia.com/images/clients/client15.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client15.jpg	(from https://www.equationsmedia.com/)
15:05:39	7082/7082	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:02%20GMT	https://www.equationsmedia.com/images/clients/client16.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client16.jpg	(from https://www.equationsmedia.com/)
15:05:40	7618/7618	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:56:03%20GMT	https://www.equationsmedia.com/images/clients/client17.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/clients/client17.jpg	(from https://www.equationsmedia.com/)
